Date;Open;High;Low;Close;Adj Close;Volume
12/12/1980;128348;128906;128348;128348;99319;469033600
15/12/1980;122210;122210;121652;121652;94137;175884800
16/12/1980;113281;113281;112723;112723;87228;105728000
17/12/1980;115513;116071;115513;115513;89387;86441600
18/12/1980;118862;119420;118862;118862;91978;73449600
19/12/1980;126116;126674;126116;126116;97591;48630400
22/12/1980;132254;132813;132254;132254;102341;37363200
23/12/1980;137835;138393;137835;137835;106660;46950400
24/12/1980;145089;145647;145089;145089;112273;48003200
26/12/1980;158482;159040;158482;158482;122637;55574400
29/12/1980;160714;161272;160714;160714;124364;93161600
30/12/1980;157366;157366;156808;156808;121342;68880000
31/12/1980;152902;152902;152344;152344;117887;35750400
02/01/1981;154018;155134;154018;154018;119183;21660800
05/01/1981;151228;151228;150670;150670;116592;35728000
06/01/1981;144531;144531;143973;143973;111410;45158400
07/01/1981;138393;138393;137835;137835;106660;55686400
08/01/1981;135603;135603;135045;135045;104501;39827200
09/01/1981;142299;142857;142299;142299;110114;21504000
12/01/1981;142299;142299;141183;141183;109251;23699200
13/01/1981;136719;136719;136161;136161;105365;23049600
14/01/1981;136719;137277;136719;136719;105796;14291200
15/01/1981;139509;140625;139509;139509;107955;14067200
16/01/1981;138951;138951;138393;138393;107092;13395200
19/01/1981;146763;147321;146763;146763;113569;41574400
20/01/1981;142857;142857;142299;142299;110114;30083200
21/01/1981;145089;146205;145089;145089;112273;15904000
22/01/1981;146763;147879;146763;146763;113569;35548800
23/01/1981;146763;147321;146205;146205;113137;11222400
26/01/1981;144531;144531;143973;143973;111410;24640000
27/01/1981;143973;143973;142857;142857;110546;23699200
28/01/1981;138951;138951;138393;138393;107092;28156800
29/01/1981;133929;133929;133371;133371;103206;43904000
30/01/1981;127232;127232;126116;126116;97591;46188800
02/02/1981;119420;119420;118862;118862;91978;23766400
03/02/1981;123326;123884;123326;123326;95433;19152000
04/02/1981;127790;128348;127790;127790;98887;27865600
05/02/1981;127790;128906;127790;127790;98887;7929600
06/02/1981;128348;128906;128348;128348;99319;13865600
09/02/1981;122768;122768;121652;121652;94137;16755200
10/02/1981;121652;122210;121652;121652;94137;18345600
11/02/1981;118304;118304;117746;117746;91115;13843200
12/02/1981;117188;117188;116629;116629;90250;14560000
13/02/1981;114955;114955;113839;113839;88091;11155200
17/02/1981;116629;117188;116629;116629;90250;12275200
18/02/1981;121652;122768;121652;121652;94137;19241600
19/02/1981;114955;114955;114397;114397;88523;22310400
20/02/1981;108817;108817;108259;108259;83773;24371200
23/02/1981;109933;110491;109933;109933;85069;14112000
24/02/1981;107143;107143;106027;106027;82046;16979200
25/02/1981;112723;113281;112723;112723;87228;19488000
26/02/1981;114397;114955;114397;114397;88523;10841600
27/02/1981;118304;119420;118304;118304;91546;14761600
02/03/1981;118862;119420;118862;118862;91978;11760000
03/03/1981;117746;117746;117188;117188;90683;16172800
04/03/1981;116629;116629;116071;116071;89818;13708800
05/03/1981;116071;116071;115513;115513;89387;5376000
06/03/1981;115513;115513;114397;114397;88523;11603200
09/03/1981;106027;106027;105469;105469;81614;15321600
10/03/1981;101004;101004;100446;100446;77727;28380800
11/03/1981;97656;97656;96540;96540;74705;29859200
12/03/1981;100446;101004;100446;100446;77727;59248000
13/03/1981;99888;99888;99330;99330;76864;231302400
16/03/1981;103237;104353;103237;103237;79887;37228800
17/03/1981;108259;109375;108259;108259;83773;43747200
18/03/1981;114955;116071;114955;114955;88955;36937600
